,10,11,12,21,22,31,110,111,112,113,121,122,9
0,0.11836851,0.07351915,0.012413266,0.008703554,0.008418709,0.002814655,-0.026707876,0.03235018,0.021898836,0.004080463,0.011147454,0.0055181407,0.11836851
900,0.118215986,0.0733975,0.012419887,0.008674454,0.00841209,0.0028128861,-0.026555352,0.03231931,0.021923088,0.0040870835,0.011145685,0.0055199102,0.118215986
1800,0.118064135,0.07327637,0.012426475,0.008645489,0.0084055,0.0028111306,-0.026403507,0.032288592,0.02194722,0.004093673,0.01114393,0.005521666,0.118064135
2700,0.117912956,0.073155776,0.012433034,0.00861666,0.008398943,0.0028093879,-0.026252337,0.032258015,0.021971231,0.0041002315,0.011142188,0.005523408,0.117912956
3600,0.11776247,0.07303571,0.012439561,0.008587965,0.008392415,0.0028076586,-0.026101843,0.032227594,0.021995129,0.0041067586,0.011140459,0.0055251378,0.11776247
4500,0.117612645,0.07291616,0.012446059,0.008559406,0.008385918,0.002805942,-0.025952023,0.03219732,0.02201891,0.0041132555,0.011138743,0.0055268547,0.117612645
5400,0.1174635,0.07279714,0.012452524,0.008530981,0.008379452,0.002804238,-0.025802875,0.03216719,0.02204257,0.0041197212,0.0111370385,0.0055285585,0.1174635
6300,0.117315024,0.072678655,0.01245896,0.00850269,0.0083730165,0.0028025473,-0.025654402,0.03213721,0.022066116,0.0041261567,0.011135348,0.0055302493,0.117315024
7200,0.11778328,0.06798653,0.01650809,0.0054633548,0.009188187,0.003219357,-0.0047197216,0.034378983,0.03134097,0.0062295664,0.013497877,0.0070591588,0.11778328
8100,0.11775607,0.06796446,0.016509209,0.0054584113,0.009187072,0.003219187,-0.0046925265,0.03437387,0.03134497,0.0062306835,0.0134977065,0.0070593283,0.11775607
9000,0.11772903,0.06794249,0.016510319,0.0054534944,0.0091859605,0.003219018,-0.004665479,0.034368783,0.031348947,0.006231794,0.013497537,0.0070594978,0.11772903
9900,0.11770213,0.06792065,0.016511422,0.0054486054,0.009184855,0.00321885,-0.004638581,0.034363728,0.0313529,0.006232899,0.013497369,0.007059666,0.11770213
10800,0.11767539,0.06789893,0.01651252,0.0054437434,0.009183757,0.0032186832,-0.004611832,0.0343587,0.03135683,0.006233997,0.013497202,0.0070598326,0.11767539
11700,0.11764878,0.06787733,0.016513614,0.0054389094,0.0091826655,0.0032185174,-0.004585231,0.034353696,0.031360738,0.006235089,0.013497036,0.007059998,0.11764878
12600,0.11762233,0.06785586,0.016514698,0.0054341024,0.009181579,0.0032183528,-0.0045587774,0.03434873,0.031364623,0.0062361755,0.013496872,0.007060163,0.11762233
13500,0.11759603,0.06783449,0.016515777,0.0054293214,0.009180499,0.003218189,-0.004532471,0.03434378,0.031368487,0.006237255,0.013496708,0.0070603266,0.11759603
14400,0.11778559,0.06612284,0.017929977,0.004412222,0.009482415,0.0033907196,0.0028288765,0.03521533,0.03457431,0.006965008,0.014355685,0.007574242,0.11778559
15300,0.11780192,0.066136174,0.017929323,0.0044151293,0.00948307,0.0033907986,0.0028125495,0.035218313,0.034571983,0.0069643534,0.014355765,0.007574163,0.11780192
16200,0.11781815,0.066149436,0.017928673,0.0044180225,0.009483722,0.0033908773,0.0027963195,0.035221286,0.03456966,0.006963702,0.014355842,0.007574084,0.11781815
17100,0.11783428,0.06616261,0.017928023,0.004420898,0.009484369,0.0033909557,0.0027801855,0.03522424,0.034567352,0.006963054,0.01435592,0.0075740055,0.11783428
18000,0.11785032,0.06617572,0.01792738,0.004423757,0.009485013,0.0033910335,0.0027641468,0.03522718,0.03456506,0.0069624106,0.0143559985,0.007573928,0.11785032
18900,0.11786627,0.066188745,0.017926741,0.004426599,0.009485654,0.003391111,0.0027482028,0.035230096,0.034562778,0.0069617704,0.014356075,0.0075738505,0.11786627
19800,0.1178821,0.06620169,0.017926104,0.004429425,0.00948629,0.003391188,0.0027323526,0.035233,0.034560513,0.0069611343,0.014356153,0.0075737736,0.1178821
20700,0.11789786,0.06621456,0.017925473,0.004432234,0.009486922,0.0033912645,0.0027165962,0.035235886,0.03455826,0.0069605014,0.014356229,0.0075736973,0.11789786
21600,0.11708147,0.072494306,0.01246734,0.008459573,0.008362571,0.0027997512,-0.025429925,0.03208923,0.022099106,0.0041353633,0.011131724,0.005532219,0.11708147
22500,0.11693467,0.07237712,0.0124737,0.008431617,0.008356212,0.002798092,-0.025283126,0.032059614,0.022122363,0.0041417223,0.011130066,0.005533878,0.11693467
23400,0.11678854,0.07226046,0.012480028,0.008403795,0.008349883,0.0027964455,-0.025136992,0.032030147,0.022145504,0.0041480516,0.01112842,0.0055355253,0.11678854
24300,0.11664307,0.072144315,0.012486326,0.008376105,0.008343586,0.0027948108,-0.024991525,0.03200082,0.022168528,0.0041543497,0.011126785,0.0055371597,0.11664307
25200,0.116498254,0.07202869,0.012492595,0.008348547,0.008337316,0.0027931887,-0.02484672,0.03197164,0.02219144,0.0041606175,0.011125163,0.005538782,0.116498254
26100,0.11635412,0.071913585,0.012498832,0.008321123,0.008331079,0.0027915789,-0.02470258,0.031942606,0.02221424,0.004166855,0.011123553,0.0055403924,0.11635412
27000,0.11621065,0.071798995,0.0125050405,0.008293829,0.008324872,0.0027899812,-0.0245591,0.031913716,0.022236923,0.004173063,0.011121957,0.00554199,0.11621065
27900,0.11606782,0.07168492,0.012511218,0.008266669,0.008318694,0.0027883956,-0.024416279,0.03188497,0.022259492,0.0041792407,0.011120371,0.0055435756,0.11606782
28800,0.11502145,0.07772387,0.00639709,0.013117155,0.0071420735,0.002517777,-0.055449188,0.029174091,0.0077541047,0.0009814121,0.007933453,0.002897896,0.11502145
29700,0.114697285,0.077471994,0.0064109135,0.013052708,0.007128251,0.002509941,-0.055125028,0.02910181,0.007812566,0.0009952353,0.007925618,0.0029057323,0.114697285
30600,0.11437412,0.07722086,0.006424713,0.012988469,0.007114452,0.0025021615,-0.05480187,0.02902979,0.007870785,0.0010090346,0.007917839,0.0029135116,0.11437412
31500,0.114051975,0.07697046,0.006438487,0.012924439,0.0071006776,0.0024944388,-0.054479722,0.028958037,0.007928765,0.0010228086,0.007910116,0.0029212353,0.114051975
32400,0.11373085,0.07672081,0.0064522354,0.0128606185,0.0070869294,0.0024867714,-0.054158583,0.028886553,0.007986505,0.0010365566,0.007902449,0.0029289026,0.11373085
33300,0.11341072,0.0764719,0.0064659575,0.012797009,0.0070732087,0.00247916,-0.053838454,0.028815335,0.008044004,0.0010502781,0.007894837,0.002936514,0.11341072
